aefzegvzgz;2
Ananas;7
Bananes;1,27
Carottes;8
Cepes;15
Cucurbitace intraauriculaire;2
erhyrrree;2
fefekfepzofkz;2
fezgrehr;2
Figues;9
gerhtej;2
grerjytkyu;2
hrehrehr;2
htrjtrjtk;2
jy;2
Litchis;10
ndberhhtr;2
ndberhhtrzdad;2
nrntrhtrntr;2
ntrtn;2
Poire;4
Pommes de terre;1,2
Radis;5,24
rehregrverg;2
rjrkgfngf;2
rrerejjyt;2
ryj;2
ryjrjyryjrj;2
Salade verte;1,8
Tomates;1,9
yjtykytnd;2
yrj;2
zdfezf;2
zf,ozef,ezae;2
kfldjf;2
lkdjf;2
ndjgndjjdd;2
lkdsjflkdsflds,f;2
nv,cv,cv,c;2
lkdfdslkfdsf;2
dlkfjkd;2
kfdjkfdjfds;2
fkldsjflkdsjf;2
dskfndsfndsf;2
kdsjflkdsf;2
djfdslk;2
eierezuru;2
erldfm;2
flgkfdds;2
gmjlg;2
mdzkdez;2
v,lkvjre;2
gmfdkjgoire;2
krgjrejg,ds,s;2
v,dsv,dlgjr;2
